id_user,id_res,X,userId,resId
tam.phung,176549,0.75,26646,1734
asanokain,176549,0.73,3153,1734
minhthy3209,176549,0.77,19635,1734
0971159089,176549,0.55,303,1734
aglx.huynhoanh82,176549,0.55,2473,1734
buivuaihien,176549,0.81,4288,1734
thanhtruc2111,176549,0.8,27282,1734
ttbms,176549,0.73,30197,1734
ngoinhachung218931,176549,0.67,21255,1734
Myvan1529,176549,0.71,1489,1734
baprangbo_1176,631024,0.79,3503,5695
huyhong6306,631024,0.84,15096,5695
baprangbo_1176,631024,0.85,3503,5695
huyhong6306,631024,0.85,15096,5695
FodoLee,691059,0.97,848,7316
nguyen.kimphung.940,691059,0.84,21424,7316
buivuaihien,691059,0.98,4288,7316
hoaithanh020272,691059,0.81,13916,7316
luuhuelinhs,691059,0.93,18523,7316
buivuaihien,691059,0.89,4288,7316
cactus131162,212687,0.72,4371,2636
ronswift,212687,0.83,25661,2636
cactus1551994,163304,0.83,4372,1408
foodee_h65kmn3x,274261,0.12,9999,4150
kimnganne,701172,0.92,16524,7554
tri.do9470,701172,0.9,29736,7554
Hangnguyen24788,116062,0.92,931,534
ritachung92,116062,0.93,25618,534
phuocom,116062,0.28,24393,534
chaodinhduongsnk,116062,0.97,4678,534
kriscinachung,116062,0.99,16702,534
fananhtu,116062,0.82,7010,534
duongngochongthi,199565,0.84,6658,2223
foodee_ep9cz2gt,252758,0.16,9636,3610
michelcuong,252758,0.67,19252,3610
hdtuan93,720678,0.79,13356,8136
huyhong6306,631648,0.83,15096,5740
ductai.senkhiet,695052,0.96,6509,7405
phapnguyen2378,695052,0.97,24090,7405
tuynmc,695052,0.97,30552,7405
phungchu,695052,0.96,24359,7405
nguyentruongthynhan,695052,0.92,22116,7405
sealanguyen,695052,0.99,25954,7405
hannguyen169,695052,0.96,13171,7405
hoanghaibiz,695052,0.99,14063,7405
thungn6423,695052,0.96,28072,7405
ttbms,26582,0.82,30197,3940
boystupid1996ag,26582,0.8,4164,3940
tieudo_kiemthantihon,26582,0.54,28608,3940
mr.chanlee78,26582,0.57,19964,3940
hdtuan93,799275,0.8,13356,9815
patricklee_us,248557,0.84,23567,3514
hdtuan93,800500,0.81,13356,9835
hdtuan93,253301,0.8,13356,3629
kenv5235,253301,0.98,15983,3629
lamthikimthu,253301,0.71,16942,3629
tnbtam.av,253301,0.53,28812,3629
cactus1551994,212714,0.74,4372,2640
ronswift,212714,0.68,25661,2640
cactus131162,212714,0.61,4371,2640
ronswift,212714,0.57,25661,2640
hdtuan93,630846,0.64,13356,5685
hdtuan93,630846,0.67,13356,5685
hdtuan93,630846,0.65,13356,5685
hdtuan93,770073,0.71,13356,9285
hdtuan93,215388,0.6,13356,2699
lamtin0945755818,215388,0.28,16946,2699
ngongocmaithy,215388,0.48,21287,2699
minhthy3209,215388,0.67,19635,2699
ttbms,286101,0.71,30197,4456
hdtuan93,249323,0.74,13356,3526
hdtuan93,187880,0.73,13356,1969
hdtuan.agp,187880,0.64,13355,1969
hdtuan93,187880,0.67,13356,1969
Mr.lonely1303,187880,0.39,1463,1969
loctran1011,187880,0.86,18137,1969
suongngocch,689583,0.78,26487,7284
hdtuan93,244566,0.82,13356,3426
huyhong6306,244566,0.82,15096,3426
hongtrn6091,244566,0.99,14575,3426
vohoango0o,244566,0.99,31280,3426
quoctinh.ckag,244566,0.97,25264,3426
thorupy,244566,0.96,27892,3426
lethidiemmi.39td,244566,0.96,17485,3426
nguyennguyen7004,244566,0.99,21820,3426
khnhan12qr,244566,0.83,16213,3426
nguyntu1312,244566,0.98,22342,3426
nguyenthanhnam123lx,244566,0.98,21946,3426
pisces0906,244566,0.99,24772,3426
kimkhoale,244566,0.83,16493,3426
yupi1609,244566,0.9,32225,3426
hunghunter23,244566,0.82,14769,3426
huyhong6306,244566,0.85,15096,3426
maivosonnguyen1348,770068,0.23,18921,9284
hdtuan93,770068,0.82,13356,9284
huyhong6306,737960,0.82,15096,8607
hdtuan93,239049,0.71,13356,3268
hdtuan93,239049,0.7,13356,3268
zu.lun3b,200278,0.78,32322,2233
hdtuan93,200278,0.79,13356,2233
anh_kenix,200278,0.72,2725,2233
phamngoc130498,108542,0.82,23854,457
lanphuong.angel,108542,0.27,17032,457
nguyentrananhvu180593,108542,0.37,22075,457
ttbms,108542,0.57,30197,457
huynhlethuylinh88,108542,0.37,15183,457
ttbms,108542,0.56,30197,457
kwonzun612,108542,0.4,16782,457
ttbms,166299,0.69,30197,1492
hdtuan93,253277,0.89,13356,3626
hdtuan93,253277,0.79,13356,3626
hdtuan93,253277,0.84,13356,3626
mrdoanblue,253277,0.8,20005,3626
michelcuong,253277,0.62,19252,3626
np23101996,253277,0.88,23130,3626
lenp,253277,0.78,17412,3626
hdtuan93,133444,0.71,13356,830
huyhong6306,133444,0.83,15096,830
huyhong6306,133444,0.72,15096,830
alainnguyen227,133444,0.74,2523,830
mymyhuynh1120,133444,0.73,20241,830
sunny.tran.35,133444,0.82,26460,830
0939712760,133444,0.8,257,830
nguynkimchu6373,133444,0.81,22256,830
myhanh311291,133444,0.88,20191,830
lovely_novice_007,133444,0.78,18281,830
thanhtruc2111,133444,0.76,27282,830
Myvan1529,133444,0.69,1489,830
hdtuan93,238995,0.76,13356,3267
chomaychetsg,238995,0.95,4958,3267
