resId,name_res,address
10185,Hải Sản Minh Yến - Trần Hưng Đạo,"71 Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
10185,Hải Sản Minh Yến - Trần Hưng Đạo,"71 Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
3708,Lẩu Cháo Cua Đồng 7777,"16G1 Phạm Cự Lượng, P. Mỹ Phước,Tp. Long Xuyên, An Giang"
7548,Ngọc Thiên Ý - Ẩm Thực Thái,"932 Ung Văn Khiêm, P. Mỹ Xuyên,Tp. Long Xuyên, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
7185,Cơm Tấm Chữ Thập Đỏ,"94 Đống Đa,Thành Phố Châu Đốc, An Giang"
6099,Cơm Tấm Đêm - Tỉnh Lộ 942,"Tỉnh Lộ 942, TT. Mỹ Luông,Chợ Mới, An Giang"
9484,Hải Sản Cua 1 Càng,"Phạm Cự Lượng, P. Mỹ Quý,Tp. Long Xuyên, An Giang"
5845,Chị Lan - Xôi Gà & Bánh Mì ,"Rạch Tầm Bót, P. Mỹ Phước,Tp. Long Xuyên, An Giang"
3799,Quán Nhậu Huỳnh Anh,"108 Phạm Cự Lượng, P. Mỹ Phước,Tp. Long Xuyên, An Giang"
9903,La Maison - Coffee & Restaurants,"5 - 6 - 7 Thục Phán, Khu Dân Cư Sao Mai, P. Bình Khánh,Tp. Long Xuyên, An Giang"
9903,La Maison - Coffee & Restaurants,"5 - 6 - 7 Thục Phán, Khu Dân Cư Sao Mai, P. Bình Khánh,Tp. Long Xuyên, An Giang"
9903,La Maison - Coffee & Restaurants,"5 - 6 - 7 Thục Phán, Khu Dân Cư Sao Mai, P. Bình Khánh,Tp. Long Xuyên, An Giang"
8715,Bún Bò Huế Ba Khoa,"73 Nguyễn Trường Tộ,Thành Phố Châu Đốc, An Giang"
5862,Quang - Lẩu Dê Chính Hiệu,"Phạm Cự Lượng, P. Mỹ Quý,Tp. Long Xuyên, An Giang"
3769,Lẩu Dê Quang Đen,"201 Nguyễn Trường Tộ, P. Bình Khánh,Tp. Long Xuyên, An Giang"
9477,Quán Bia Lu 868,"146 Phạm Cự Lượng, P. Mỹ Quý,Tp. Long Xuyên, An Giang"
6586,Nhà Hàng Hải Sản Long Xuyên,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang"
6586,Nhà Hàng Hải Sản Long Xuyên,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang"
6586,Nhà Hàng Hải Sản Long Xuyên,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang"
6586,Nhà Hàng Hải Sản Long Xuyên,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang"
6586,Nhà Hàng Hải Sản Long Xuyên,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang"
3703,Quán Nướng Gu Sinh Viên,"Phan Tôn,Tp. Long Xuyên, An Giang"
3703,Quán Nướng Gu Sinh Viên,"Phan Tôn,Tp. Long Xuyên, An Giang"
3479,Vương Bình Bakery,"172 Thủ Khoa Huân,Thành Phố Châu Đốc, An Giang"
